name,salary_from,salary_to,salary_currency,area_name,published_at
Наладчик станков с ЧПУ,90000,100000,RUR,Санкт-Петербург,2022-11-22T10:17:43+0300
"Ведущий специалист, Отдел проектных функций TCM NC",,,,Москва,2022-11-22T10:24:31+0300
Senior Data Scientist,,,,Алматы,2022-11-22T07:56:43+0300
Токарь,127000,128000,RUR,Хабаровск,2022-11-22T09:08:28+0300
Developer C# (KesAuto),,,,Москва,2022-11-22T11:40:54+0300
Механизатор Тракторист МТЗ,40000,,RUR,Тюмень,2022-11-22T10:20:50+0300
Enterprise Architect,,,,Москва,2022-11-22T11:28:15+0300
Junior разработчик (поисковая выдача),,65000,RUR,Саратов,2022-11-22T10:50:42+0300
Токарь-револьверщик,155000,,RUR,Челябинск,2022-11-22T10:54:23+0300
Junior разработчик (поисковая выдача),,65000,RUR,Тверь,2022-11-22T10:50:36+0300
"Начальник отдела стратегического развития, Проектный офис Управления трансформации",,,,Ташкент,2022-11-22T09:01:44+0300
Оператор ЧПУ,65000,,RUR,Елабуга,2022-11-22T10:07:47+0300
Менеджер по информационной безопасности (Риски),,,,Москва,2022-11-22T11:00:20+0300
Помощник руководителя проекта (комплектатор проекта),200000,300000,KZT,Алматы,2022-11-22T11:11:16+0300
Мастер сервисный инженер по ремонту бытовой техники и электроники,45000,70000,RUR,Красноярск,2022-11-22T10:59:39+0300
Аналитик отдела продаж,120000,,RUR,Москва,2022-11-22T10:11:27+0300
Инженер связи мобильной сети,,,,Севастополь,2022-11-22T09:41:24+0300
Механизатор,60000,100000,RUR,Славянск-на-Кубани,2022-11-22T11:00:54+0300
Специалист голосовой поддержки пользователей,33200,46400,RUR,Великий Новгород,2022-11-22T10:47:04+0300
Оператор станков с программным управлением (станки: 6М612 центр Siemens; FERMAT; ИР 800; ТOS),,,,Калуга,2022-11-22T08:50:53+0300
Флотатор 4 разряда,,,,Удачный,2022-11-22T11:57:07+0300
Оператор станков с ЧПУ,120000,,RUR,Чебоксары,2022-11-22T09:27:40+0300
Системный администратор,50000,,RUR,Чита,2022-11-22T08:39:39+0300
Руководитель отдела IT,350000,350000,KZT,Костанай,2022-11-22T07:50:05+0300
"Фрезеровщик, Оборонная промышленность",110000,,RUR,Уфа,2022-11-22T09:37:18+0300
Фрезеровщик (в г. Арзамас),100000,110000,RUR,Ульяновск,2022-11-22T08:56:12+0300
Помощник печатника,100000,150000,KZT,Астана,2022-11-22T07:42:21+0300
Техник по разливному оборудованию,220000,,KZT,Алматы,2022-11-22T09:12:17+0300
Solution Аrchitect,,,,Москва,2022-11-22T08:54:43+0300
Шлифовщик / Полировщик,40000,,RUR,Домодедово,2022-11-22T10:30:20+0300
Маркетолог-аналитик,120000,,RUR,Москва,2022-11-22T10:51:20+0300
Middle Unity Developer / Unity-разработчик,,,,Ульяновск,2022-11-22T08:25:21+0300
Корректор-редактор,50000,60000,RUR,Москва,2022-11-22T10:04:31+0300
Сервисный инженер/IT специалист,30000,45000,RUR,Йошкар-Ола,2022-11-22T06:40:29+0300
Токарь-револьверщик,155000,,RUR,Уфа,2022-11-22T10:54:23+0300
Инженер-программист,,,,Санкт-Петербург,2022-11-22T11:29:54+0300
Специалист по защите информации,30000,30000,RUR,Владимир,2022-11-22T08:13:11+0300
Junior разработчик (поисковая выдача),,65000,RUR,Томск,2022-11-22T10:50:43+0300
Kotlin/Java backend developer,1000,2000,USD,Минск,2022-11-22T11:04:51+0300
Оператор станков с ЧПУ,35000,,RUR,Самара,2022-11-22T11:44:13+0300
Токарь,100000,100000,RUR,Уфа,2022-11-22T09:14:11+0300
Junior разработчик (поисковая выдача),,65000,RUR,Набережные Челны,2022-11-22T10:50:44+0300
Бизнес-аналитик/менеджер проектов,,,,Алматы,2022-11-22T08:50:35+0300
Механик автоколонны,70000,,RUR,Пыть-Ях,2022-11-22T11:42:58+0300
Фрезеровщик,50000,,RUR,Томск,2022-11-22T09:47:27+0300
Инженер-программист,30000,,RUR,Димитровград,2022-11-22T07:44:32+0300
Оператор (по тестированию компьютерных устройств),43700,43700,RUR,Обнинск,2022-11-22T11:19:57+0300
Специалист техподдержки 1-я линия,55000,55000,RUR,Краснодар,2022-11-22T10:52:58+0300
Графический дизайнер,,,,Астана,2022-11-22T08:07:13+0300
Сервисный инженер,65000,,RUR,Санкт-Петербург,2022-11-22T09:40:23+0300
Токарь,40000,,RUR,Иглино,2022-11-22T09:47:40+0300
Токарь-револьверщик,155000,,RUR,Екатеринбург,2022-11-22T10:54:23+0300
Специалист отдела информационно-технического сопровождения,50000,,RUR,Санкт-Петербург,2022-11-22T11:09:53+0300
Оператор ЧПУ,65000,,RUR,Мамадыш,2022-11-22T10:06:42+0300
Фрезеровщик,105000,,RUR,Ярославль,2022-11-22T09:25:08+0300
Токарь-револьверщик,155000,,RUR,Самара,2022-11-22T10:54:23+0300
Junior разработчик (поисковая выдача),,65000,RUR,Ставрополь,2022-11-22T10:50:36+0300
Продакт-менеджер,,,,Ташкент,2022-11-22T11:00:05+0300
Senior / Middle разработчик ЦФТ (Расчетный центр),,,,Санкт-Петербург,2022-11-22T10:50:40+0300
Машинист мельниц 6 разряда Фабрика №12,,,,Удачный,2022-11-22T11:57:38+0300
Фрезеровщик на завод,108000,,RUR,Москва,2022-11-22T09:49:19+0300
Devops инженер,,,,Москва,2022-11-22T11:32:52+0300
Главный инженер по ремонту техники,50000,,RUR,Новосибирск,2022-11-22T11:25:36+0300
Токарь,120000,,RUR,Глазов,2022-11-22T09:00:05+0300
Технический директор,65000,,RUR,Бийск,2022-11-22T06:11:43+0300
Токарь (оборонка),115000,,RUR,Чебоксары,2022-11-22T09:37:18+0300
Токарь,100000,100000,RUR,Чебоксары,2022-11-22T09:14:11+0300
Рабочий по комплексному обслуживанию зданий (сантехник) на Камчатке,55000,65000,RUR,Саратов,2022-11-22T09:53:04+0300
Middle Backend (Python) разработчик,400000,,KZT,Алматы,2022-11-22T11:42:06+0300
Junior разработчик (поисковая выдача),,65000,RUR,Владикавказ,2022-11-22T10:50:50+0300
Токарь-универсал,130000,,RUR,Омск,2022-11-22T11:35:04+0300
Фрезеровщик (в г. Арзамас),100000,110000,RUR,Чебоксары,2022-11-22T08:56:12+0300
DevOps engineer,,,,Краснодар,2022-11-22T10:55:02+0300
Пресс-секретарь,60000,80000,RUR,Санкт-Петербург,2022-11-22T11:06:50+0300
Специалист по сопровождению клиентов,20000,45000,RUR,Невьянск,2022-11-22T07:56:31+0300
"Системный аналитик (в УК ""Моя Страна"")",70000,,RUR,Тюмень,2022-11-22T07:58:10+0300
